config,model,d_model,d_ff,technode,cellBit,subArray,numColMuxed,levelOutput,operationmode,blocks_full,chipArea_mm2_per_block,arrayArea_mm2_per_block,adcArea_um2,memUtil_pct,arrayFrac_pct,adcFrac_pct,block_params_M,macroDensity_Mb_per_mm2
M1_22nm_4bit_512sub_32mux_16lvl_seq,Qwen35_9B,4096,11008,22,4,512,32,16,1,32,51.0764,8.5749,5.44776e+06,96.0227,16.7800,0,177.2,27.7545
M2_22nm_4bit_1024sub_64mux_8lvl_seq,Qwen35_9B,4096,11008,22,4,1024,64,8,1,32,33.165,9.35444,1.96535e+06,92.1875,28.2000,0,177.2,42.7438
M3_22nm_4bit_512sub_16mux_32lvl_par,Qwen35_9B,4096,11008,22,4,512,16,32,2,32,62.8674,8.5749,1.88831e+07,96.0227,13.6300,0,177.2,22.5490
M4_32nm_4bit_512sub_32mux_16lvl_seq,Qwen35_9B,4096,11008,32,4,512,32,16,1,32,110.625,18.1419,1.15258e+07,96.0227,16.3900,0,177.2,12.8144
M1_22nm_4bit_512sub_32mux_16lvl_seq,Qwen3VL_30B_A3B,2048,5632,22,4,512,32,16,1,28,14.5798,2.33861,1.48575e+06,93.75,16.0400,0,45.1,24.7465
M2_22nm_4bit_1024sub_64mux_8lvl_seq,Qwen3VL_30B_A3B,2048,5632,22,4,1024,64,8,1,28,16.2772,4.67722,982676,90.625,28.7300,6.0300,45.1,22.1659
M3_22nm_4bit_512sub_16mux_32lvl_par,Qwen3VL_30B_A3B,2048,5632,22,4,512,16,32,2,28,17.8731,2.33861,5.14995e+06,93.75,13.0800,0,45.1,20.1867
M4_32nm_4bit_512sub_32mux_16lvl_seq,Qwen3VL_30B_A3B,2048,5632,32,4,512,32,16,1,28,31.5883,4.9478,3.14341e+06,93.75,15.6600,0,45.1,11.4219
